gc_content gc_skew gc_culm
0.428 -9.34579439252336 -9.34579439252336
0.461 -4.98915401301518 -14.3349484055385
0.488 -7.78688524590164 -22.1218336514402
0.473 -7.39957716701903 -29.5214108184592
0.502 6.77290836653386 -22.7485024519254
0.559 8.40787119856887 -14.3406312533565
0.528 0 -14.3406312533565
0.491 3.05498981670061 -11.2856414366559
0.526 -6.84410646387833 -18.1297479005342
0.532 -10.9022556390977 -29.0320035396319
0.536 -7.08955223880597 -36.1215557784379
0.488 -4.0983606557377 -40.2199164341756
0.545 3.48623853211009 -36.7336779020655
0.5 -5.6 -42.3336779020655
0.517 8.31721470019342 -34.0164632018721
0.506 6.32411067193676 -27.6923525299353
0.521 4.41458733205374 -23.2777651978816
0.522 -2.68199233716475 -25.9597575350463
0.508 0 -25.9597575350463
0.543 2.39410681399632 -23.56565072105
0.504 4.36507936507936 -19.2005713559707
0.537 2.42085661080074 -16.7797147451699
0.524 -2.29007633587786 -19.0697910810478
0.508 0.393700787401575 -18.6760902936462
0.508 -2.36220472440945 -21.0382950180557
0.492 4.8780487804878 -16.1602462375679
0.531 -2.82485875706215 -18.98510499463
0.526 -8.36501901140684 -27.3501240060368
0.509 3.33988212180747 -24.0102418842294
0.513 -0.194931773879142 -24.2051736581085
0.529 2.45746691871456 -21.747706739394
0.523 -7.83938814531549 -29.5870948847095
0.533 -6.56660412757974 -36.1536990122892
0.516 -5.42635658914729 -41.5800556014365
0.505 11.2871287128713 -30.2929268885652
0.495 5.05050505050505 -25.2424218380601
0.547 -3.83912248628885 -29.081544324349
0.523 -8.60420650095602 -37.685750825305
0.501 -1.79640718562874 -39.4821580109338
0.499 -2.20440881763527 -41.686566828569
0.537 -5.40037243947859 -47.0869392680476
0.498 5.22088353413655 -41.8660557339111
0.512 3.515625 -38.3504307339111
0.551 -2.72232304900181 -41.0727537829129
0.531 2.07156308851224 -39.0011906944006
0.521 -4.41458733205374 -43.4157780264544
0.5 -5.2 -48.6157780264544
0.518 -1.93050193050193 -50.5462799569563
0.513 9.94152046783626 -40.60475948912
0.507 4.14201183431953 -36.4627476548005
0.531 5.08474576271186 -31.3780018920887
0.48 10 -21.3780018920887
0.444 -3.15315315315315 -24.5311550452418
0.453 -13.9072847682119 -38.4384398134537
0.353 -11.0481586402266 -49.4865984536804
0.348 -14.9425287356322 -64.4291271893126
0.361 -6.92520775623269 -71.3543349455452
0.348 -8.62068965517241 -79.9750246007176
0.32 16.25 -63.7250246007176
0.359 5.2924791086351 -58.4325454920826
0.462 -14.2857142857143 -72.7182597777968
0.405 13.5802469135802 -59.1380128642166
0.346 -12.7167630057803 -71.8547758699969
0.348 1.72413793103448 -70.1306379389625
0.389 -6.94087403598972 -77.0715119749522
0.42 -6.19047619047619 -83.2619881654284
